A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
182	Lu     	71 	111	0.0000  	              	-41.88              	20        	2.0 M 2                  	120                      	          	        	B-      	100.00      
183	Lu     	71 	112	0.0000  	(7/2+)        	-39.72              	8         	58 S 4                   	58                       	          	        	B-      	100.00      
184	Lu     	71 	113	0.0000  	(3+)          	-36.4               	3         	19 S 2                   	19                       	          	        	B-      	100.00      
185	Lu     	71 	114	0.0000  	              	-33.9               	3         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
186	Lu     	71 	115	0.0000  	              	-30.2               	4         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
187	Lu     	71 	116	0.0000  	              	-27.6               	4         	160 NS GT                	1.6E-7                   	          	        	BN      	?           
187	Lu     	71 	116	0.0000  	              	-27.6               	4         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
188	Lu     	71 	117	0.0000  	              	-23.8               	5         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
188	Lu     	71 	117	0.0000  	              	-23.8               	5         	160 NS GT                	1.6E-7                   	          	        	BN      	?           
153	Hf     	72 	81 	0.0000  	              	-27.3               	3         	60 NS GT                 	6.000000000000001E-8     	          	        	EC      	?           
154	Hf     	72 	82 	0.0000  	0+            	-32.7               	3         	2 S 1                    	2                        	          	        	EC      	100.00      
154	Hf     	72 	82 	0.0000  	0+            	-32.7               	3         	2 S 1                    	2                        	          	        	A       	~ 0         
155	Hf     	72 	83 	0.0000  	              	-34.2               	3         	0.84 S 3                 	0.84                     	          	        	EC      	100.00      
156	Hf     	72 	84 	0.0000  	0+            	-37.82              	15        	23 MS 1                  	0.023                    	          	        	A       	100.00      
156	Hf     	72 	84 	1.9590  	8+            	-35.86              	15        	0.52 MS 1                	5.2E-4                   	          	        	A       	100.00      
157	Hf     	72 	85 	0.0000  	7/2-          	-38.90              	20        	115 MS 6                 	0.115                    	          	        	A       	86.00       
157	Hf     	72 	85 	0.0000  	7/2-          	-38.90              	20        	115 MS 6                 	0.115                    	          	        	EC      	14.00       
158	Hf     	72 	86 	0.0000  	0+            	-42.102             	17        	2.85 S 7                 	2.85                     	          	        	EC      	55.70       
158	Hf     	72 	86 	0.0000  	0+            	-42.102             	17        	2.85 S 7                 	2.85                     	          	        	A       	44.30       
159	Hf     	72 	87 	0.0000  	7/2-          	-42.853             	17        	5.6 S 4                  	5.6                      	          	        	EC      	65.00       
159	Hf     	72 	87 	0.0000  	7/2-          	-42.853             	17        	5.6 S 4                  	5.6                      	          	        	A       	35.00       
160	Hf     	72 	88 	0.0000  	0+            	-45.939             	10        	13.6 S 2                 	13.6                     	          	        	EC      	99.30       
160	Hf     	72 	88 	0.0000  	0+            	-45.939             	10        	13.6 S 2                 	13.6                     	          	        	A       	0.70        
161	Hf     	72 	89 	0.0000  	              	-46.315             	23        	18.4 S 4                 	18.4                     	          	        	A       	< 0.13      
161	Hf     	72 	89 	0.0000  	              	-46.315             	23        	18.4 S 4                 	18.4                     	          	        	EC      	> 99.87     
162	Hf     	72 	90 	0.0000  	0+            	-49.169             	9         	39.4 S 9                 	39.4                     	          	        	EC      	99.99       
162	Hf     	72 	90 	0.0000  	0+            	-49.169             	9         	39.4 S 9                 	39.4                     	          	        	A       	8.0E-3      
163	Hf     	72 	91 	0.0000  	              	-49.264             	25        	40.0 S 6                 	40                       	          	        	EC      	100.00      
163	Hf     	72 	91 	0.0000  	              	-49.264             	25        	40.0 S 6                 	40                       	          	        	A       	< 1.0E-4    
164	Hf     	72 	92 	0.0000  	0+            	-51.819             	16        	111 S 8                  	111                      	          	        	EC      	100.00      
165	Hf     	72 	93 	0.0000  	(5/2-)        	-51.64              	3         	76 S 4                   	76                       	          	        	EC      	100.00      
166	Hf     	72 	94 	0.0000  	0+            	-53.86              	3         	6.77 M 30                	406.2                    	          	        	EC      	100.00      
167	Hf     	72 	95 	0.0000  	(5/2)-        	-53.47              	3         	2.05 M 5                 	122.1                    	          	        	EC      	100.00      
168	Hf     	72 	96 	0.0000  	0+            	-55.36              	3         	25.95 M 20               	1557                     	          	        	EC      	100.00      
169	Hf     	72 	97 	0.0000  	5/2-          	-54.72              	3         	3.24 M 4                 	194.4                    	          	        	EC      	100.00      
170	Hf     	72 	98 	0.0000  	0+            	-56.25              	3         	16.01 H 13               	57636.00000000001        	          	        	EC      	100.00      
171	Hf     	72 	99 	0.0000  	7/2+          	-55.43              	3         	12.1 H 4                 	43560                    	          	        	EC      	100.00      
171	Hf     	72 	99 	0.0219  	1/2-          	-55.41              	3         	29.5 S 9                 	29.5                     	          	        	EC      	            
171	Hf     	72 	99 	0.0219  	1/2-          	-55.41              	3         	29.5 S 9                 	29.5                     	          	        	IT      	<= 100.00   
172	Hf     	72 	100	0.0000  	0+            	-56.402             	24        	1.87 Y 3                 	5.901E7                  	          	        	EC      	100.00      
173	Hf     	72 	101	0.0000  	1/2-          	-55.41              	3         	23.6 H 1                 	84960                    	          	        	EC      	100.00      
174	Hf     	72 	102	0.0000  	0+            	-55.8445            	23        	2.0E+15 Y 4              	6.312E22                 	0.16%     	1       	A       	100.00      
175	Hf     	72 	103	0.0000  	5/2(-)        	-54.4817            	23        	70 D 2                   	6048000                  	          	        	EC      	100.00      
176	Hf     	72 	104	0.0000  	0+            	-54.5763            	15        	STABLE                   	infinity                 	5.26%     	7       	        	            
177	Hf     	72 	105	0.0000  	7/2-          	-52.8806            	14        	STABLE                   	infinity                 	18.60%    	9       	        	            
177	Hf     	72 	105	1.3155  	23/2+         	-51.5651            	14        	1.09 S 5                 	1.09                     	          	        	IT      	100.00      
177	Hf     	72 	105	2.7400  	37/2-         	-50.1406            	14        	51.4 M 5                 	3084                     	          	        	IT      	100.00      
178	Hf     	72 	106	0.0000  	0+            	-52.4352            	14        	STABLE                   	infinity                 	27.28%    	7       	        	            
178	Hf     	72 	106	1.1474  	8-            	-51.2878            	14        	4.0 S 2                  	4                        	          	        	IT      	100.00      
178	Hf     	72 	106	2.4461  	16+           	-49.9891            	14        	31 Y 1                   	9.783E8                  	          	        	IT      	100.00      
179	Hf     	72 	107	0.0000  	9/2+          	-50.4629            	14        	STABLE                   	infinity                 	13.62%    	2       	        	            
179	Hf     	72 	107	0.3750  	1/2-          	-50.0879            	14        	18.67 S 4                	18.67                    	          	        	IT      	100.00      
179	Hf     	72 	107	1.1057  	25/2-         	-49.3572            	14        	25.05 D 25               	2164320                  	          	        	IT      	100.00      
180	Hf     	72 	108	0.0000  	0+            	-49.7793            	14        	STABLE                   	infinity                 	35.08%    	16      	        	            
180	Hf     	72 	108	1.1415  	8-            	-48.6378            	14        	5.53 H 2                 	19908                    	          	        	IT      	99.69       
180	Hf     	72 	108	1.1415  	8-            	-48.6378            	14        	5.53 H 2                 	19908                    	          	        	B-      	0.31        
181	Hf     	72 	109	0.0000  	1/2-          	-47.4028            	14        	42.39 D 6                	3662496                  	          	        	B-      	100.00      
181	Hf     	72 	109	1.7419  	(25/2-)       	-45.6609            	14        	1.5 MS 5                 	0.0015                   	          	        	IT      	100.00      
182	Hf     	72 	110	0.0000  	0+            	-46.050             	6         	8.90E+6 Y 9              	2.809E14                 	          	        	B-      	100.00      
182	Hf     	72 	110	1.1729  	(8-)          	-44.877             	6         	61.5 M 15                	3690                     	          	        	B-      	54.00       
182	Hf     	72 	110	1.1729  	(8-)          	-44.877             	6         	61.5 M 15                	3690                     	          	        	IT      	46.00       
183	Hf     	72 	111	0.0000  	(3/2-)        	-43.28              	3         	1.018 H 2                	3664.8                   	          	        	B-      	100.00      
183	Hf     	72 	111	1.4640  	              	-41.82              	3         	10 S +48-5               	10                       	          	        	IT      	100.00      
184	Hf     	72 	112	0.0000  	0+            	-41.50              	4         	4.12 H 5                 	14832                    	          	        	B-      	100.00      
184	Hf     	72 	112	1.2722  	(8-)          	-40.23              	4         	48 S 10                  	48                       	          	        	IT      	100.00      
185	Hf     	72 	113	0.0000  	              	-38.32              	6         	3.5 M 6                  	210                      	          	        	B-      	100.00      
186	Hf     	72 	114	0.0000  	0+            	-36.42              	5         	2.6 M 12                 	156                      	          	        	B-      	100.00      
187	Hf     	72 	115	0.0000  	              	-32.8               	3         	0.27 US 8                	2.7E-7                   	          	        	B-      	100.00      
188	Hf     	72 	116	0.0000  	0+            	-30.9               	3         	                         	                         	          	        	B-      	100.00      
189	Hf     	72 	117	0.0000  	              	                    	          	                         	                         	          	        	B-      	100.00      
190	Hf     	72 	118	0.0000  	0+            	                    	          	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
155	Ta     	73 	82 	0.0000  	11/2-         	-23.9               	3         	2.9 MS +15-11            	0.0029                   	          	        	P       	100.00      
156	Ta     	73 	83 	0.0000  	(2-)          	-25.9               	3         	144 MS 24                	0.144                    	          	        	P       	100.00      
156	Ta     	73 	83 	0.0000  	(2-)          	-25.9               	3         	144 MS 24                	0.144                    	          	        	EC      	            
156	Ta     	73 	83 	0.1020  	9+            	-25.8               	3         	0.36 S 4                 	0.36                     	          	        	EC      	95.80       
156	Ta     	73 	83 	0.1020  	9+            	-25.8               	3         	0.36 S 4                 	0.36                     	          	        	P       	4.20        
157	Ta     	73 	84 	0.0000  	1/2+          	-29.59              	15        	10.1 MS 4                	0.0101                   	          	        	A       	96.60       
157	Ta     	73 	84 	0.0000  	1/2+          	-29.59              	15        	10.1 MS 4                	0.0101                   	          	        	P       	3.40        
157	Ta     	73 	84 	0.0220  	11/2-         	-29.57              	15        	4.3 MS 1                 	0.0043                   	          	        	A       	100.00      
157	Ta     	73 	84 	1.5890  	(25/2-)       	-28.00              	15        	1.7 MS 1                 	0.0017                   	          	        	A       	100.00      
158	Ta     	73 	85 	0.0000  	(2-)          	-31.17              	20        	55 MS 15                 	0.055                    	          	        	A       	~ 91.00     
158	Ta     	73 	85 	0.0000  	(2-)          	-31.17              	20        	55 MS 15                 	0.055                    	          	        	EC      	~ 9.00      
158	Ta     	73 	85 	0.1410  	(9+)          	-31.03              	20        	36.7 MS 15               	0.0367                   	          	        	EC      	5.00        
158	Ta     	73 	85 	0.1410  	(9+)          	-31.03              	20        	36.7 MS 15               	0.0367                   	          	        	A       	95.00       
159	Ta     	73 	86 	0.0000  	1/2+          	-34.439             	20        	0.83 S 18                	0.83                     	          	        	EC      	66.00       
159	Ta     	73 	86 	0.0000  	1/2+          	-34.439             	20        	0.83 S 18                	0.83                     	          	        	A       	34.00       
159	Ta     	73 	86 	0.0640  	11/2-         	-34.375             	20        	0.56 S 6                 	0.56                     	          	        	A       	55.00       
159	Ta     	73 	86 	0.0640  	11/2-         	-34.375             	20        	0.56 S 6                 	0.56                     	          	        	EC      	45.00       
160	Ta     	73 	87 	0.0000  	              	-35.82              	5         	1.55 S 4                 	1.55                     	          	        	EC      	66.00       
160	Ta     	73 	87 	0.0000  	              	-35.82              	5         	1.55 S 4                 	1.55                     	          	        	A       	34.00       
160	Ta     	73 	87 	0.0000  	              	-35.82              	5         	1.7 S 2                  	1.7                      	          	        	        	            
161	Ta     	73 	88 	0.0000  	(1/2+)        	-38.779             	24        	                         	                         	          	        	EC      	            
161	Ta     	73 	88 	0.0000  	(1/2+)        	-38.779             	24        	                         	                         	          	        	A       	            
161	Ta     	73 	88 	0.0000  	(11/2-)       	-38.779             	24        	3.08 S 11                	3.08                     	          	        	EC      	            
161	Ta     	73 	88 	0.0000  	(11/2-)       	-38.779             	24        	3.08 S 11                	3.08                     	          	        	A       	            
162	Ta     	73 	89 	0.0000  	1/2+          	-39.78              	5         	3.57 S 12                	3.57                     	          	        	EC      	99.93       
162	Ta     	73 	89 	0.0000  	1/2+          	-39.78              	5         	3.57 S 12                	3.57                     	          	        	A       	0.07        
163	Ta     	73 	90 	0.0000  	              	-42.53              	4         	10.6 S 18                	10.6                     	          	        	EC      	~ 99.80     
163	Ta     	73 	90 	0.0000  	              	-42.53              	4         	10.6 S 18                	10.6                     	          	        	A       	~ 0.20      
164	Ta     	73 	91 	0.0000  	(3+)          	-43.28              	3         	14.2 S 3                 	14.2                     	          	        	EC      	100.00      
165	Ta     	73 	92 	0.0000  	              	-45.848             	14        	31.0 S 15                	31                       	          	        	EC      	100.00      
166	Ta     	73 	93 	0.0000  	(2)+          	-46.10              	3         	34.4 S 5                 	34.4                     	          	        	EC      	100.00      
167	Ta     	73 	94 	0.0000  	(3/2+)        	-48.35              	3         	80 S 4                   	80                       	          	        	EC      	100.00      
168	Ta     	73 	95 	0.0000  	(2-,3+)       	-48.39              	3         	2.0 M 1                  	120                      	          	        	EC      	100.00      
169	Ta     	73 	96 	0.0000  	(5/2+)        	-50.29              	3         	4.9 M 4                  	294                      	          	        	EC      	100.00      
170	Ta     	73 	97 	0.0000  	(3+)          	-50.14              	3         	6.76 M 6                 	405.6                    	          	        	EC      	100.00      
171	Ta     	73 	98 	0.0000  	(5/2-)        	-51.72              	3         	23.3 M 3                 	1398                     	          	        	EC      	100.00      
172	Ta     	73 	99 	0.0000  	(3+)          	-51.33              	3         	36.8 M 3                 	2208                     	          	        	EC      	100.00      
173	Ta     	73 	100	0.0000  	5/2-          	-52.40              	3         	3.14 H 13                	11304                    	          	        	EC      	100.00      
174	Ta     	73 	101	0.0000  	3+            	-51.74              	3         	1.14 H 8                 	4104                     	          	        	EC      	100.00      
175	Ta     	73 	102	0.0000  	7/2+          	-52.41              	3         	10.5 H 2                 	37800                    	          	        	EC      	100.00      
176	Ta     	73 	103	0.0000  	(1)-          	-51.37              	3         	8.09 H 5                 	29124                    	          	        	EC      	100.00      
177	Ta     	73 	104	0.0000  	7/2+          	-51.715             	3         	56.56 H 6                	203616                   	          	        	EC      	100.00      
178	Ta     	73 	105	0.0000  	(1+)          	-50.60              	5         	9.31 M 3                 	558.6                    	          	        	EC      	100.00      
178	Ta     	73 	105	0.0000  	7-            	-50.60              	5         	2.36 H 8                 	8496                     	          	        	EC      	100.00      
178	Ta     	73 	105	1.4678  	15-           	-49.13              	5         	58 MS 4                  	0.058                    	          	        	IT      	100.00      
178	Ta     	73 	105	2.9022  	(21-)         	-47.70              	5         	290 MS 12                	0.29                     	          	        	IT      	100.00      
179	Ta     	73 	106	0.0000  	7/2+          	-50.3573            	15        	1.82 Y 3                 	5.743E7                  	          	        	EC      	100.00      
179	Ta     	73 	106	1.3172  	(25/2+)       	-49.0401            	15        	9.0 MS 2                 	0.009                    	          	        	IT      	100.00      
179	Ta     	73 	106	2.6395  	(37/2+)       	-47.7178            	15        	54.1 MS 17               	0.0541                   	          	        	IT      	100.00      
180	Ta     	73 	107	0.0000  	1+            	-48.9329            	19        	8.154 H 6                	29354.4                  	          	        	EC      	85.00       
180	Ta     	73 	107	0.0000  	1+            	-48.9329            	19        	8.154 H 6                	29354.4                  	          	        	B-      	15.00       
180	Ta     	73 	107	0.0771  	9-            	-48.8558            	19        	7.15E15 Y GT             	2.256E23                 	0.01201%  	32      	EC      	?           
180	Ta     	73 	107	0.0771  	9-            	-48.8558            	19        	7.15E15 Y GT             	2.256E23                 	0.01201%  	32      	B-      	?           
180	Ta     	73 	107	0.1077  	0-            	-48.8252            	19        	19.2 NS 7                	1.92E-8                  	          	        	B-      	?           
181	Ta     	73 	108	0.0000  	7/2+          	-48.4383            	14        	STABLE                   	infinity                 	99.98799% 	32      	        	            
182	Ta     	73 	109	0.0000  	3-            	-46.4299            	14        	114.74 D 12              	9913536                  	          	        	B-      	100.00      
182	Ta     	73 	109	0.0163  	5+            	-46.4136            	14        	283 MS 3                 	0.283                    	          	        	IT      	100.00      
182	Ta     	73 	109	0.5196  	10-           	-45.9103            	14        	15.84 M 10               	950.4                    	          	        	IT      	100.00      
183	Ta     	73 	110	0.0000  	7/2+          	-45.2928            	14        	5.1 D 1                  	440639.1                 	          	        	B-      	100.00      
184	Ta     	73 	111	0.0000  	(5-)          	-42.84              	3         	8.7 H 1                  	31319.1                  	          	        	B-      	100.00      
185	Ta     	73 	112	0.0000  	(7/2+)        	-41.394             	14        	49.4 M 15                	2964                     	          	        	B-      	100.00      
185	Ta     	73 	112	1.2585  	(21/2)        	-40.136             	14        	1 MS GT                  	0.001                    	          	        	        	            
186	Ta     	73 	113	0.0000  	(2-,3-)       	-38.61              	6         	10.5 M 3                 	630                      	          	        	B-      	100.00      
186	Ta     	73 	113	0.0000  	              	-38.61              	6         	1.54 M 5                 	92.4                     	          	        	B-      	100.00      
187	Ta     	73 	114	0.0000  	(7/2+)        	-36.90              	6         	2.3 M 6                  	138                      	          	        	B-      	100.00      
187	Ta     	73 	114	1.7890  	(27/2-)       	-35.11              	6         	22 S 9                   	22                       	          	        	B-      	?           
187	Ta     	73 	114	1.7890  	(27/2-)       	-35.11              	6         	22 S 9                   	22                       	          	        	IT      	?           
187	Ta     	73 	114	2.9350  	(41/2+)       	-33.96              	6         	5 M GT                   	300                      	          	        	B-      	?           
187	Ta     	73 	114	2.9350  	(41/2+)       	-33.96              	6         	5 M GT                   	300                      	          	        	IT      	?           
188	Ta     	73 	115	0.0000  	              	-33.61              	5         	19.6 S 20                	19.6                     	          	        	B-      	100.00      
189	Ta     	73 	116	0.0000  	              	-31.83              	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
190	Ta     	73 	117	0.0000  	              	-28.51              	20        	5.3 S 7                  	5.3                      	          	        	B-      	100.00      
191	Ta     	73 	118	0.0000  	              	-26.5               	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
192	Ta     	73 	119	0.0000  	(1,2)         	-23.1               	4         	2.2 S 7                  	2.2                      	          	        	B-      	100.00      
193	Ta     	73 	120	0.0000  	              	-20.9               	4         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
193	Ta     	73 	120	0.0000  	              	-20.9               	4         	160 NS GT                	1.6E-7                   	          	        	BN      	?           
194	Ta     	73 	121	0.0000  	              	-17.3               	5         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
194	Ta     	73 	121	0.0000  	              	-17.3               	5         	160 NS GT                	1.6E-7                   	          	        	BN      	?           
157	W      	74 	83 	0.0000  	(7/2-)        	-19.5               	4         	275 MS 40                	0.275                    	          	        	EC      	?           
158	W      	74 	84 	0.0000  	0+            	-23.6               	3         	1.25 MS 21               	0.00125                  	          	        	A       	100.00      
158	W      	74 	84 	1.8880  	(8+)          	-21.7               	3         	0.143 MS 19              	1.43E-4                  	          	        	A       	            
158	W      	74 	84 	1.8880  	(8+)          	-21.7               	3         	0.143 MS 19              	1.43E-4                  	          	        	IT      	            
159	W      	74 	85 	0.0000  	              	-25.3               	3         	7.3 MS 27                	0.0073                   	          	        	A       	~ 99.90     
159	W      	74 	85 	0.0000  	              	-25.3               	3         	7.3 MS 27                	0.0073                   	          	        	EC      	~ 0.10      
160	W      	74 	86 	0.0000  	0+            	-29.33              	15        	91 MS 5                  	0.091                    	          	        	A       	87.00       
161	W      	74 	87 	0.0000  	              	-30.55              	20        	409 MS 18                	0.409                    	          	        	EC      	27.00       
161	W      	74 	87 	0.0000  	              	-30.55              	20        	409 MS 18                	0.409                    	          	        	A       	73.00       
162	W      	74 	88 	0.0000  	0+            	-33.999             	18        	1.36 S 7                 	1.36                     	          	        	EC      	54.80       
162	W      	74 	88 	0.0000  	0+            	-33.999             	18        	1.36 S 7                 	1.36                     	          	        	A       	45.20       
163	W      	74 	89 	0.0000  	7/2-          	-34.91              	5         	2.67 S 10                	2.67                     	          	        	A       	14.00       
163	W      	74 	89 	0.0000  	7/2-          	-34.91              	5         	2.67 S 10                	2.67                     	          	        	EC      	86.00       
164	W      	74 	90 	0.0000  	0+            	-38.236             	10        	6.3 S 2                  	6.3                      	          	        	EC      	96.20       
164	W      	74 	90 	0.0000  	0+            	-38.236             	10        	6.3 S 2                  	6.3                      	          	        	A       	3.80        
165	W      	74 	91 	0.0000  	(5/2-)        	-38.861             	25        	5.1 S 5                  	5.1                      	          	        	EC      	> 99.80     
165	W      	74 	91 	0.0000  	(5/2-)        	-38.861             	25        	5.1 S 5                  	5.1                      	          	        	A       	< 0.20      
166	W      	74 	92 	0.0000  	0+            	-41.888             	9         	19.2 S 6                 	19.2                     	          	        	EC      	99.96       
166	W      	74 	92 	0.0000  	0+            	-41.888             	9         	19.2 S 6                 	19.2                     	          	        	A       	0.04        
167	W      	74 	93 	0.0000  	(+)           	-42.098             	18        	19.9 S 5                 	19.9                     	          	        	EC      	99.96       
167	W      	74 	93 	0.0000  	(+)           	-42.098             	18        	19.9 S 5                 	19.9                     	          	        	A       	0.04        
168	W      	74 	94 	0.0000  	0+            	-44.893             	13        	50.9 S 19                	50.9                     	          	        	EC      	100.00      
168	W      	74 	94 	0.0000  	0+            	-44.893             	13        	50.9 S 19                	50.9                     	          	        	A       	3.2E-3      
169	W      	74 	95 	0.0000  	(5/2-)        	-44.918             	15        	74 S 6                   	74                       	          	        	EC      	100.00      
170	W      	74 	96 	0.0000  	0+            	-47.291             	13        	2.42 M 4                 	145.2                    	          	        	EC      	100.00      
171	W      	74 	97 	0.0000  	(5/2-)        	-47.09              	3         	2.38 M 4                 	142.8                    	          	        	EC      	100.00      
172	W      	74 	98 	0.0000  	0+            	-49.10              	3         	6.6 M 9                  	396                      	          	        	EC      	100.00      
173	W      	74 	99 	0.0000  	5/2-          	-48.73              	3         	7.6 M 2                  	456                      	          	        	EC      	100.00      
174	W      	74 	100	0.0000  	0+            	-50.23              	3         	33.2 M 21                	1992.0000000000002       	          	        	EC      	100.00      
175	W      	74 	101	0.0000  	(1/2-)        	-49.63              	3         	35.2 M 6                 	2112                     	          	        	EC      	100.00      
176	W      	74 	102	0.0000  	0+            	-50.64              	3         	2.5 H 1                  	9000                     	          	        	EC      	100.00      
177	W      	74 	103	0.0000  	1/2-          	-49.70              	3         	132 M 2                  	7920                     	          	        	EC      	100.00      
178	W      	74 	104	0.0000  	0+            	-50.407             	15        	21.6 D 3                 	1866240.0000000002       	          	        	EC      	100.00      
179	W      	74 	105	0.0000  	7/2-          	-49.295             	15        	37.05 M 16               	2223                     	          	        	EC      	100.00      
179	W      	74 	105	0.2219  	1/2-          	-49.073             	15        	6.40 M 7                 	384                      	          	        	EC      	0.29        
179	W      	74 	105	0.2219  	1/2-          	-49.073             	15        	6.40 M 7                 	384                      	          	        	IT      	99.71       
180	W      	74 	106	0.0000  	0+            	-49.6361            	14        	6.6E+17 Y GE             	2.0828E25                	0.12%     	1       	2EC     	100.00      
180	W      	74 	106	1.5290  	8-            	-48.1071            	14        	5.47 MS 9                	0.00547                  	          	        	IT      	100.00      
181	W      	74 	107	0.0000  	9/2+          	-48.2338            	14        	121.2 D 2                	1.0472E7                 	          	        	EC      	100.00      
182	W      	74 	108	0.0000  	0+            	-48.2461            	7         	STABLE                   	infinity                 	26.50%    	16      	        	            
183	W      	74 	109	0.0000  	1/2-          	-46.3656            	7         	6.7E+20 Y GE             	2.114E28                 	14.31%    	4       	A       	?           
183	W      	74 	109	0.3095  	11/2+         	-46.0561            	7         	5.30 S 8                 	5.3                      	          	        	IT      	100.00      
184	W      	74 	110	0.0000  	0+            	-45.7054            	7         	STABLE                   	infinity                 	30.64%    	2       	        	            
185	W      	74 	111	0.0000  	3/2-          	-43.3878            	7         	75.1 D 3                 	6488639.1                	          	        	B-      	100.00      
185	W      	74 	111	0.1974  	11/2+         	-43.1904            	7         	1.67 M 3                 	100.2                    	          	        	IT      	100.00      
186	W      	74 	112	0.0000  	0+            	-42.5085            	12        	2.3E+19 Y GT             	7.258E26                 	28.43%    	19      	2B-     	            
186	W      	74 	112	3.5428  	(16+)         	-38.9657            	12        	3 MS GT                  	0.003                    	          	        	IT      	            
187	W      	74 	113	0.0000  	3/2-          	-39.9040            	12        	24.000 H 4               	86400                    	          	        	B-      	100.00      
188	W      	74 	114	0.0000  	0+            	-38.668             	3         	69.78 D 5                	6028992                  	          	        	B-      	100.00      
189	W      	74 	115	0.0000  	(3/2-)        	-35.62              	4         	10.7 M 5                 	642                      	          	        	B-      	100.00      
190	W      	74 	116	0.0000  	0+            	-34.38              	4         	30.0 M 15                	1800                     	          	        	B-      	100.00      
190	W      	74 	116	2.3810  	(10-)         	-32.00              	4         	3.1 MS LE                	0.0031                   	          	        	IT      	100.00      
191	W      	74 	117	        	              	-31.18              	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
192	W      	74 	118	0.0000  	0+            	-29.65              	20        	                         	                         	          	        	B-      	100.00      
193	W      	74 	119	0.0000  	              	-26.29              	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
194	W      	74 	120	0.0000  	0+            	-24.5               	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
195	W      	74 	121	0.0000  	              	-21.0               	3         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
196	W      	74 	122	0.0000  	0+            	-18.9               	4         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
197	W      	74 	123	0.0000  	0+            	-15.1               	4         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
159	Re     	75 	84 	0.0000  	(1/2+)        	-14.7               	3         	                         	                         	          	        	        	            
160	Re     	75 	85 	0.0000  	(2-)          	-16.7               	3         	0.82 MS +15-9            	8.2E-4                   	          	        	P       	91.00       
160	Re     	75 	85 	0.0000  	(2-)          	-16.7               	3         	0.82 MS +15-9            	8.2E-4                   	          	        	A       	9.00        
161	Re     	75 	86 	0.0000  	1/2+          	-20.84              	15        	0.44 MS 1                	4.4E-4                   	          	        	P       	100.00      
161	Re     	75 	86 	0.0000  	1/2+          	-20.84              	15        	0.44 MS 1                	4.4E-4                   	          	        	A       	< 1.40      
161	Re     	75 	86 	0.1238  	11/2-         	-20.72              	15        	14.7 MS 3                	0.0147                   	          	        	A       	93.00       
161	Re     	75 	86 	0.1238  	11/2-         	-20.72              	15        	14.7 MS 3                	0.0147                   	          	        	P       	7.00        
162	Re     	75 	87 	0.0000  	(2-)          	-22.50              	20        	107 MS 13                	0.107                    	          	        	EC      	6.00        
162	Re     	75 	87 	0.0000  	(2-)          	-22.50              	20        	107 MS 13                	0.107                    	          	        	A       	94.00       
162	Re     	75 	87 	0.1730  	(9+)          	-22.33              	20        	77 MS 9                  	0.077                    	          	        	A       	91.00       
162	Re     	75 	87 	0.1730  	(9+)          	-22.33              	20        	77 MS 9                  	0.077                    	          	        	EC      	9.00        
163	Re     	75 	88 	0.0000  	1/2+          	-26.002             	19        	390 MS 72                	0.39                     	          	        	EC      	68.00       
163	Re     	75 	88 	0.0000  	1/2+          	-26.002             	19        	390 MS 72                	0.39                     	          	        	A       	32.00       
163	Re     	75 	88 	0.1150  	11/2-         	-25.887             	19        	214 MS 5                 	0.214                    	          	        	A       	66.00       
163	Re     	75 	88 	0.1150  	11/2-         	-25.887             	19        	214 MS 5                 	0.214                    	          	        	EC      	34.00       
164	Re     	75 	89 	0.0000  	              	-27.47              	5         	0.85 S +14-11            	0.85                     	          	        	A       	~ 58.00     
164	Re     	75 	89 	0.0000  	              	-27.47              	5         	0.85 S +14-11            	0.85                     	          	        	EC      	~ 42.00     
164	Re     	75 	89 	0.0690  	              	-27.40              	5         	0.86 S +15-11            	0.86                     	          	        	IT      	            
164	Re     	75 	89 	0.0690  	              	-27.40              	5         	0.86 S +15-11            	0.86                     	          	        	A       	~ 3.00      
165	Re     	75 	90 	0.0000  	(1/2+)        	-30.660             	24        	1.6 S 6                  	1.6                      	          	        	A       	            
165	Re     	75 	90 	0.0000  	(1/2+)        	-30.660             	24        	1.6 S 6                  	1.6                      	          	        	EC      	            
165	Re     	75 	90 	0.0480  	(11/2-)       	-30.612             	24        	1.74 S 6                 	1.74                     	          	        	A       	13.00       
